"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";;;
2;"U3";"SOP65P640X110-14N";1;"SOP65P640X110-14N";;;
3;"C31,C3,C28,C4,C18,C2";"CAPC6153X390N";6;"22uF";;;
4;"C27,C17,C34";"CAPC3216X180N";3;"1uF";;;
5;"C29,C6,C19,C33,C7,C5";"CAPC3216X100N";6;"0.1uF";;;
6;"R21,R11";"RES_ERJ14NF4122U";2;"41.2k";;;
7;"R22";"RESC3116X60N";1;"240k";;;
8;"R13";"RESC3116X60N";1;"243k";;;
9;"R23";"RESC3116X65N";1;"100k";;;
10;"C13,C1,C23";"CAPC3216X180N";3;"4.7uF";;;
11;"U1,U2";"CONV_LT8640SEV_PBF";2;"LT8640SEV_PBF";;;
12;"R31";"RESC3116X65N";1;"60.4k";;;
13;"R12";"RESC3116X65N";1;"1M";;;
14;"L1,L2";"IND_DFE322512F_MUR";2;"3.3uH";;;
15;"C15,C25";"CAPC3216X100N";2;"1nF";;;
16;"C32,C26,C16";"CAP_C1206C-X7R-EB_KEM";3;"10pF";;;
17;"L3";"IND_BOURNS_SRR6038";1;"10uH";;;
18;"RTD";"PinHeader_1x04_P2.54mm_Vertical";1;"PinHeader_1x04_P2.54mm_Vertical";;;
19;"Thermocouple";"PinHeader_1x02_P2.54mm_Vertical";1;"PinHeader_1x02_P2.54mm_Vertical";;;
20;"R32";"RESC3116X60N";1;"1.05M";;;
21;"R33";"RESC3116X65N";1;"120k";;;
22;"U3";"05-08-1699_ADI";1;"LT8619EDD-TRPBF";;;
23;"STM_CN10,STM_CN7";"PinHeader_2x19_P2.54mm_Vertical";2;"PinHeader_2x19_P2.54mm_Vertical";;;
24;"M1,M2";"2N7002NXAKR";2;"TO-236AB_SOT23_NEX";;;
25;"R_sink3,R_sink2,R_sink1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";;;
26;"D2,D1";"BAT54HT1G";2;"CR_SOD-323_2L_ONS";;;
27;"MAX31856,MAX31865";"PinHeader_1x09_P2.54mm_Vertical";2;"PinHeader_1x09_P2.54mm_Vertical";;;
28;"K**";"LAA108STR";1;"LAA108STR";;;
29;"R2,R1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";2;"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";;;
30;"J3,J4,J2,J1";"PinHeader_1x02_P2.54mm_Horizontal";4;"Conn_01x02_Pin";;;
31;"Connector";"0430451000";1;"0430451000";;;
